78.4	78.2	78.1	78.1
78.5	78.3	78.2	78.2
78.7	78.4	78.3	78.3
78.8	78.7	78.4	78.4
78.9	78.8	78.5	78.5
79	78.9	78.7	78.6
79.1	79	78.8	78.7
79.2	78.9	78.9	78.8
79.5	79	79	78.9
79.6	78.9	79.1	79
79.7	79	79.2	78.9
79.8	79.1	79.3	79
79.9	79.2	79.4	79.1
80	79.3	79.5	79.2
80.1	79.4	79.6	79.3
80.2	79.3	79.7	79.2
80.4	79.5	79.9	79.3
80.5	79.4	80	79.4
80.6	79.5	80.1	79.5
80.7	79.6	80.2	79.6
80.8	79.8	80.3	79.5
80.9	78.1	80.4	79.6
81.1	78.3	80.5	79.7
81.2	78.2	80.6	79.6
81.3	78.1	80.5	79.7
81.4	78.2	80.6	79.8
81.5	78.3	80.7	79.9
81.6	78.2	80.9	80
81.7	78.3	81.1	79.9
81.8	78.5	81.2	80
81.9	78.4	81.3	80.1
82	78.5	81.4	78.1
82.1	78.6	81.5	78.2
82.2	78.4	81.4	78.3
82	78.5	81.5	78.4
82.1	78.6	81.7	78.5
82.2	78.7	81.8	78.6
82.1	78.6	81.9	78.7
82.2	78.7	82	78.8
82.4	78.8	82.1	78.7
82.5	78.9	82.2	78.8
82.7	79	82.4	78.9
82.8	79.2	82.2	79
82.7	78.9	82.4	78.9
82.8	79	82.5	79
82.9	79.2	82.6	79.1
83	79.3	82.5	79.2
83.1	79.4	82.6	79.3
83	79.3	82.5	79.4
83.1	79.4	82.6	79.3
83.2	79.5	82.7	79.4
83.3	79.4	82.8	79.5
83.2	79.6	78.2	79.6
83.3	79.7	78.3	79.5
78	79.6	78.2	79.6
78.1	79.5	78.3	79.5
78.2	79.6	78.2	79.6
78.3	79.7	78.3	79.7
78.4	79.9	78.4	79.6
78.5	80.1	78.5	79.7
78.6	80.2	78.6	79.8
78.7	80.3	78.5	79.9
78.6	80.4	78.6	80
78.7	80.5	78.5	79.9
78.6	80.4	78.6	80
78.7	80.5	78.7	80.1
78.8	80.7	78.6	80
78.9	80.5	78.7	80.1
79	80.7	78.8	80.2
78.9	80.8	78.9	80.1
78.8	80.7	78.8	80.2
78.9	80.8	79	80.3
79.1	80.9	78.9	80.2
79.2	81	79	80.3
79.3	80.9	79.1	80.2
79.4	81	79.2	80.3
79.3	80.9	79.1	80.2
79.5	81	79.2	80.3
79.4	80.9	79.3	80.4
79.5	81	79.4	80.3
79.6	81.1	79.3	80.4
79.5	81	79.4	80.5
79.6	81.1	79.3	80.6
79.7	81	79.4	80.5
79.6	81.1	79.5	80.6
79.7	81.2	79.4	80.7
79.8	81.1	79.5	80.8
79.7	81.2	79.6	80.9
79.8	81.1	79.5	80.8
79.7	81.2	79.6	80.9
79.8	81.3	79.7	81
79.9	81.4	79.6	80.9
79.8	81.3	79.7	81
79.7	81.4	79.6	81.1
79.8	81.5	79.7	81
79.9	81.4	79.8	81.1
80	81.5	79.7	81.2
79.9	81.4	79.8	81.3
80	81.5	79.7	81.2
79.9	81.6	79.8	81.3
80	81.5	79.7	81.1
80.1	81.6	79.8	81.2
80	81.5	79.7	81.3
80.1	81.6	79.8	81.2
80.2	81.5	79.9	81.3
80.3	81.6	79.8	81.2
80.2	81.5	79.9	81.3
80.3	81.6	79.8	81.4
80.4	81.5	79.9	81.3
80.3	81.6	80	81.4
80.4	81.5	79.9	81.5
80.3	81.6	80	81.4
80.4	81.7	79.9	81.5
80.3	81.8	80	81.4
80.4	81.7	79.9	81.5
80.3	81.8	80	81.6
80.2	81.7	79.9	81.5
80.3	81.9	80	81.4
80.2	82	79.9	81.5
80.3	81.9	80	81.6
80.4	81.8	79.9	81.5
80.3	81.9	80	81.6
80.4	81.8	80.1	81.5
80.3	81.9	80	81.6
80.4	81.8	80.1	81.7
80.3	82	80	81.6
80.4	82.2	80.1	81.7
80.5	82	80	81.6
80.4	82.2	80.1	81.7
80.5	82	80	81.6
80.6	82.2	80.1	81.7
80.5	82	80	81.6
80.6	82.2	80.1	81.7
80.5	82.3	80	81.6
80.6	82.2	79.9	81.8
80.5	82.3	80	81.7
80.4	82.4	80.1	81.8
80.5	82.3	80	81.7
80.6	82.4	80.1	81.8
80.5	82.3	80	81.9
80.6	82.4	80.1	81.8
80.5	82.3	80	81.9
80.6	82.4	80.1	81.8
80.7	82.3	80	81.9
80.6	82.4	80.1	81.8
80.7	82.3	80	81.9
80.6	82.4	80.1	81.8
80.7	82.3	80	81.9
80.6	82.4	80.1	82
80.7	82.3	80	81.9
80.6	82.4	80.1	82
80.7	82.5	80	81.9
80.6	82.6	79.9	82
80.7	82.5	80	81.9
80.6	82.4	79.9	82
80.7	82.5	80	81.9
80.6	82.7	79.9	82
80.7	82.6	80	81.9
80.6	82.7	79.9	82
80.7	82.6	80	81.9
80.6	82.7	79.9	82
80.7	82.6	79.8	82.1
80.6	82.8	79.9	82
80.8	82.7	79.8	82.1
80.7	82.8	79.9	82
80.8	82.6	79.8	82.1
80.7	82.7	79.7	82
80.8	82.6	79.8	82.1
80.7	82.7	79.7	82.2
80.8	82.8	79.8	82.1
80.9	82.9	79.7	82.2
80.8	82.8	79.6	82.1
80.9	82.9	79.7	82.2
80.8	83	79.6	82.1
80.9	82.9	79.7	82.2
80.8	83	79.6	82.3
80.9	82.9	79.7	82.2
